patent_id,title,filing_date,year,abstract
10000112,Pelvic load management using integrated collapsible features in door trim panel,2018-06-19,2018,
10000113,Tonneau cover securing mechanism,2018-06-19,2018,
10000114,Truck cap with heavy duty mounting rack,2018-06-19,2018,
10000115,Method of operating a transmission,2018-06-19,2018,
10000116,Fuel filling aperture opening and closing device,2018-06-19,2018,
10000117,Filler neck closure assembly,2018-06-19,2018,
10000118,Clutch control device for four-wheel-drive vehicle,2018-06-19,2018,
10000119,Constant velocity drive assembly,2018-06-19,2018,
10000120,Work vehicle,2018-06-19,2018,
10000121,Vehicle computer system with transparent display,2018-06-19,2018,
10000122,Method for operating parallel auxiliary converters in a rail vehicle,2018-06-19,2018,
10000123,Hybrid vehicle,2018-06-19,2018,
10000124,"Independent steering, power, torque control and transfer in vehicles",2018-06-19,2018,
10000125,Power supply apparatus and method for hybrid vehicle,2018-06-19,2018,
10000126,Power-module assembly and method,2018-06-19,2018,
10000127,Parallel charging and power supply system for pure electric vehicle,2018-06-19,2018,
10000128,Method and apparatus for parking lot metering using activation codes,2018-06-19,2018,
10000129,Electric vehicle charging via grid and engine,2018-06-19,2018,
10000130,Charging management system and method for charger of electric vehicle,2018-06-19,2018,
10000131,Systems for determining relative position and orientation of a vehicle with respect to a charging station,2018-06-19,2018,
10000132,Charging indicator light control,2018-06-19,2018,
10000133,Systems and methods for identifying an ideal operation frequency for wireless power transfer,2018-06-19,2018,
10000134,Wireless charging system for charging vehicular battery,2018-06-19,2018,
10000135,Parking assist device,2018-06-19,2018,
10000136,Vehicle and charging control method of the vehicle,2018-06-19,2018,
10000137,Hybrid vehicle with means for disconnection of a depleted auxiliary battery in order to allow for more rapid main battery charging,2018-06-19,2018,
10000138,Cooling device of onboard secondary battery,2018-06-19,2018,
10000139,Safety system of fuel cell vehicle and control method for the same,2018-06-19,2018,
10000140,Method of controlling air blower of fuel cell vehicle,2018-06-19,2018,
10000141,Method and system for controlling fuel cell vehicle,2018-06-19,2018,
10000142,Head and neck restraining system,2018-06-19,2018,
10000143,Debris catching system for a child seat,2018-06-19,2018,
10000144,Hopper transportable in parts and assembly method,2018-06-19,2018,
10000145,Air bag system for lifting trailer platforms,2018-06-19,2018,
10000146,Adjustable and collapsible apparatus for loading and unloading pickup truck cargo beds,2018-06-19,2018,
10000147,Retractable recreational vehicle skirting,2018-06-19,2018,
10000148,Strap winding apparatus and method,2018-06-19,2018,
10000149,Container-securing device,2018-06-19,2018,
10000150,Lighting circuit and vehicle lamp,2018-06-19,2018,
10000151,Motor vehicle lighting device,2018-06-19,2018,
10000152,External audio alert system and method for vehicular use,2018-06-19,2018,
10000153,System for object indication on a vehicle display and method thereof,2018-06-19,2018,
10000154,Vehicle camera system having live video indication,2018-06-19,2018,
10000155,Method and device for reproducing a lateral and/or rear surrounding area of a vehicle,2018-06-19,2018,
10000156,Vehicle mirror mount assembly,2018-06-19,2018,
10000157,Controlling dimming of mirrors or displays using dual-function lighting,2018-06-19,2018,
10000158,Bag for storing and holding electronic and non-electronic items,2018-06-19,2018,
10000159,Storage bin system for a motor vehicle,2018-06-19,2018,
10000160,Vehicle article carrier with integrated camera and solar powered lighting,2018-06-19,2018,
10000161,Mounting structure for truck box side,2018-06-19,2018,
10000162,"Speaker device for vehicle, and vehicle having the speaker device",2018-06-19,2018,
10000163,Apparatus and method for restoring a camera mounting to a calibrated position,2018-06-19,2018,
10000164,Vehicle camera peripheral,2018-06-19,2018,
10000165,Pickup truck mounted toolbox,2018-06-19,2018,
10000166,Scoop for a water container built into the dividing wall,2018-06-19,2018,
10000167,Wire harness,2018-06-19,2018,
10000168,Vehicle electrical system and method for operating a vehicle electrical system,2018-06-19,2018,
10000169,"Power control apparatus, vehicle having the same, and method of controlling vehicle",2018-06-19,2018,
10000170,Bumper beam with embossed cover,2018-06-19,2018,
10000171,Vehicle energy-absorbing device,2018-06-19,2018,
10000172,Detecting hazards in anticipation of opening vehicle doors,2018-06-19,2018,
10000174,Head protection airbag device,2018-06-19,2018,
10000175,Driver airbag cover with emblem,2018-06-19,2018,
10000176,Vehicle seat part,2018-06-19,2018,
10000177,Airbag module,2018-06-19,2018,
10000178,Vehicle curtain airbag device,2018-06-19,2018,
10000179,"Airbag, airbag device, and automobile",2018-06-19,2018,
10000180,Pedestrian protection airbag device,2018-06-19,2018,
10000181,Pretensioner and safety belt assembly including the same,2018-06-19,2018,
10000182,Buckle device,2018-06-19,2018,
10000183,Belt retractor and method for tightening an unused vehicle belt,2018-06-19,2018,
10000184,Webbing take-up device,2018-06-19,2018,
10000185,Pressure unit and end fitting having a pressure unit of this type,2018-06-19,2018,
10000186,Belt assembly including plus-two-point belt reminder,2018-06-19,2018,
10000187,"Vehicle communication system, in-vehicle device, portable device, and computer program",2018-06-19,2018,
10000188,Robotic vehicle with integrated mobility enhancement and mast deployment,2018-06-19,2018,
10000189,Hydraulic jack retrofit for trailer,2018-06-19,2018,
10000190,"Cooling device, and steering bogie and vehicle provided with same",2018-06-19,2018,
10000191,Brake system and method for controlling a brake system,2018-06-19,2018,
10000192,Electro-mechanical brake for increasing braking force,2018-06-19,2018,
10000193,Integrated dynamic brake apparatus,2018-06-19,2018,
10000194,"Method, controller and system for monitoring brake operation",2018-06-19,2018,
10000195,Bicycle control apparatus,2018-06-19,2018,
10000196,Apparatus and method for controlling torque reduction of hybrid electric vehicle,2018-06-19,2018,
10000197,Mild hybrid powertrain controls,2018-06-19,2018,
10000198,Control system and control method,2018-06-19,2018,
10000199,"Hybrid electric vehicle, drive control method and device of the same",2018-06-19,2018,
10000200,Torque reserve in a hybrid system,2018-06-19,2018,
10000201,Driving mode control method and apparatus of hybrid electric vehicle,2018-06-19,2018,
10000202,Device and method for controlling running mode of hybrid electric vehicle,2018-06-19,2018,
10000203,EV mode shift strategy for hybrid vehicle,2018-06-19,2018,
10000204,Apparatus and method for learning touch point of engine clutch of hybrid electric vehicle,2018-06-19,2018,
10000205,Fail-safe control apparatus for hybrid vehicles,2018-06-19,2018,
10000206,Control apparatus for power transmission system,2018-06-19,2018,
10000207,Vehicle hitch detection system and method,2018-06-19,2018,
10000208,Vehicle control apparatus,2018-06-19,2018,
10000209,Vehicle steering control apparatus,2018-06-19,2018,
10000210,Lane recognition apparatus,2018-06-19,2018,
10000211,Vehicle travel control apparatus,2018-06-19,2018,
10000212,Vehicle and method for controlling distance between traveling vehicles,2018-06-19,2018,
10000213,Spare tire detection,2018-06-19,2018,
10000214,Vehicle controls including dynamic vehicle parameter determination,2018-06-19,2018,
10000215,Detection and reconstruction of pitch rate sensor fault,2018-06-19,2018,
10000216,Engaging and disengaging for autonomous driving,2018-06-19,2018,
10000217,"Notification-needed information presenting apparatus, notification-needed information presenting method, and non-transitory computer readable storage medium",2018-06-19,2018,
10000218,Bi-modal traffic system,2018-06-19,2018,
10000219,Rail vehicle with a completely retractable coupling,2018-06-19,2018,
10000220,Brake cylinder with integrated wear adjusting device for rail vehicles,2018-06-19,2018,
10000221,Pit cover,2018-06-19,2018,
10000222,Methods and systems of determining end of train location and clearance of trackside points of interest,2018-06-19,2018,
10000223,Rail track geometry measurement,2018-06-19,2018,
10000224,Handling device for the maintenance of agitator ball mills and method for maintaining an agitator ball mill,2018-06-19,2018,
10000225,Mobile child support device,2018-06-19,2018,
10000226,Infant stroller apparatus,2018-06-19,2018,
10000227,Electric power steering device and method for assembling the same,2018-06-19,2018,
10000228,Steering apparatus,2018-06-19,2018,
10000229,Steering column device,2018-06-19,2018,
10000230,Vehicle for line marking,2018-06-19,2018,
10000231,Device for applying an auxiliary force in a motor vehicle steering system,2018-06-19,2018,
10000232,Steering assist device,2018-06-19,2018,
10000233,Method of controlling an inverter during MOSFET shorts,2018-06-19,2018,
10000234,Steering control apparatus and method of steer-by-wire system,2018-06-19,2018,
10000235,Steering control device,2018-06-19,2018,
10000236,Vehicle control device,2018-06-19,2018,
10000237,Driving support device for vehicle steering systems in lane assist and collision avoidance modes,2018-06-19,2018,
10000238,Modular system,2018-06-19,2018,
10000239,Automobile vehicle body structure,2018-06-19,2018,
10000240,Vehicle high voltage equipment mounting for rear-end collisions,2018-06-19,2018,
10000241,Rocker reinforcement bracket having anti-corrosion holes,2018-06-19,2018,
10000242,Bottom rail assembly for trailers,2018-06-19,2018,
10000243,"Structural body of differing thicknesses, and method of manufacturing thereof",2018-06-19,2018,
10000244,Tiltable cabin,2018-06-19,2018,
10000245,Inflatable panel housing for an aerodynamic fairing assembly,2018-06-19,2018,
10000246,Vehicle with front spoiler,2018-06-19,2018,
10000247,Crawler track,2018-06-19,2018,
10000248,Rotatable robot foot with perpendicular soles,2018-06-19,2018,
10000249,Bicycle pedal,2018-06-19,2018,
10000250,Leaning vehicle with wheel speed sensor,2018-06-19,2018,
10000251,Motorcycle throttle lock cruise control,2018-06-19,2018,
10000252,Swingarm support structure,2018-06-19,2018,
10000253,Bicycle crank assembly,2018-06-19,2018,
10000254,Bicycle pedal,2018-06-19,2018,
10000255,Bicycle drive unit and bicycle equipped with the drive unit,2018-06-19,2018,
10000256,Bicycle sprocket,2018-06-19,2018,
10000257,Watercraft,2018-06-19,2018,
10000258,Vessel with selectively deployable hull members,2018-06-19,2018,
10000259,Suction anchor,2018-06-19,2018,
10000260,Systems and methods for pressure tolerant energy systems,2018-06-19,2018,
10000261,"System, method, and apparatus for stabilizing a boat",2018-06-19,2018,
10000262,"Data-processing device, program, recording medium and data-processing method for generation of data that indicates navigation performance of ship",2018-06-19,2018,
10000263,Underwater system and method,2018-06-19,2018,
10000264,Underwater watercraft,2018-06-19,2018,
10000265,Controlling buoyancy of an underwater vehicle using a dual-internal-reservoir configuration to enhance efficiency of inflating and deflating an external chamber,2018-06-19,2018,
10000266,Aquatic jet propulsion device,2018-06-19,2018,
10000267,Methods for trimming trimmable marine devices with respect to a marine vessel,2018-06-19,2018,
10000268,Systems and methods for controlling a marine vessel having a joystick with adjustable display,2018-06-19,2018,
10000269,Column based electric assist marine power steering,2018-06-19,2018,
10000270,"Moving body control device, moving body control method, and moving body control program",2018-06-19,2018,
10000271,Door construction with gap sealing device and method for sealing a gap between a door and a door frame,2018-06-19,2018,
10000272,Thermal acoustic insulation blankets,2018-06-19,2018,
10000273,Passive load alleviation for a fiber reinforced wing box of an aircraft with a stiffened shell structure,2018-06-19,2018,
10000274,Mitigation of surface discontinuities between flight control surfaces and an airframe of an aircraft,2018-06-19,2018,
10000275,Aircraft hybrid flight control system,2018-06-19,2018,
10000276,"Pushing device, moving mechanism and aircraft",2018-06-19,2018,
10000277,Perforated surface for suction-type laminar flow control,2018-06-19,2018,
10000278,Landing gear for an aircraft comprising an obstacle detector,2018-06-19,2018,
10000279,Retractable landing gear,2018-06-19,2018,
10000280,Device for mounting an aircraft tail wheel,2018-06-19,2018,
10000281,"Control method for controlling a buoyancy system for an aircraft, a buoyancy system, and an aircraft",2018-06-19,2018,
10000282,Aircraft landing gear assembly,2018-06-19,2018,
10000283,Negative spring compensation for elastomeric bearing torque,2018-06-19,2018,
10000284,Collaborative unmanned aerial vehicle for an inventory system,2018-06-19,2018,
10000285,Methods and systems for detecting and resolving failure events when raising and lowering a payload,2018-06-19,2018,
10000286,Pivot bin assembly with lift assist,2018-06-19,2018,
10000287,Drop down overhead galley stowage system,2018-06-19,2018,
10000288,Laterally and recline adjustable aircraft passenger seat,2018-06-19,2018,
10000289,Temperature control gasper apparatus,2018-06-19,2018,
10000290,Electro-expulsive deicing apparatuses comprising at least one standoff,2018-06-19,2018,
10000291,Aircraft evacuation slide,2018-06-19,2018,
10000292,Multipurpose lane divider for evacuation slide,2018-06-19,2018,
10000293,Gas-electric propulsion system for an aircraft,2018-06-19,2018,
10000294,Aircraft fuel tank flammability reduction method and system,2018-06-19,2018,
10000295,Aircraft fuel vent pipe,2018-06-19,2018,
10000296,Electrical control system,2018-06-19,2018,
10000297,Aircraft display systems and methods for generating horizontal situation indicator graphics with enhanced symbology,2018-06-19,2018,
10000298,Metrology system for positioning assemblies,2018-06-19,2018,
10000299,Self-repair structures and methods for making the same,2018-06-19,2018,
10000300,"Device for holding and aligning a useful component, in particular a space travel component",2018-06-19,2018,
10000301,Method for dispensing moist smokeless tobacco,2018-06-19,2018,
10000302,Method of forming a stack of cosmetic pads,2018-06-19,2018,
10000303,Container comprising integral film lid,2018-06-19,2018,
10000304,Method for sanitizing and filling containers,2018-06-19,2018,
10000305,Antioxidant-stabilized joint implants,2018-06-19,2018,
10000306,Variable volume containers useful in pack-off operations,2018-06-19,2018,
10000307,Transporter device and method for conveying objects to be labeled or stamped,2018-06-19,2018,
10000308,Automated labeling method and apparatus,2018-06-19,2018,
10000309,Labelling machine and method,2018-06-19,2018,
10000310,Inner seal with an overlapping partial tab layer,2018-06-19,2018,
10000311,Method and apparatus for constructing pallets,2018-06-19,2018,
10000312,Combination food storage and serving device,2018-06-19,2018,
10000313,Holder with bottle,2018-06-19,2018,
10000314,Container and method for making the same,2018-06-19,2018,
10000315,Collapsible cooler liner,2018-06-19,2018,
10000316,One-way valve for a compressible container and container with such a valve,2018-06-19,2018,
10000317,"Pail, closing ring, and method for assembling a pail",2018-06-19,2018,
10000318,Safety device against excess temperature,2018-06-19,2018,
10000319,Sealable drinking container with air-extracting mechanism for oxygenation suppression,2018-06-19,2018,
10000320,Wine cork with built-in gas activated mini-corkscrew,2018-06-19,2018,
10000321,"Tray system for display, storage and transportation of bottles",2018-06-19,2018,
10000322,Hang tag for displaying an object,2018-06-19,2018,
10000323,Packages and methods for manufacturing packages,2018-06-19,2018,
10000324,Packing bag and manufacturing method for the same,2018-06-19,2018,
10000325,Flexible stand-up pouch container for flowable products,2018-06-19,2018,
10000326,Plastic beer keg,2018-06-19,2018,
10000327,Tip indicator and packaging box equipped with same,2018-06-19,2018,
10000328,Vehicle fuel tank for improved crashworthiness,2018-06-19,2018,
10000329,Thermally insulated shipping container,2018-06-19,2018,
10000330,Modular spray cap,2018-06-19,2018,
10000331,"Bottle change apparatus, substrate treatment apparatus, bottle change method, bottle cap, bottle cap change apparatus and bottle cap change method",2018-06-19,2018,
10000332,Display and distribution package for eggs,2018-06-19,2018,
10000333,Shipping strap assembly for a vibratory screening machine,2018-06-19,2018,
10000334,Liquid holding container,2018-06-19,2018,
10000335,Capsule for preparing beverages,2018-06-19,2018,
10000336,Automated rack unloading apparatus,2018-06-19,2018,
10000337,Apparatus for retrieving units from a storage system,2018-06-19,2018,
10000338,Automated system for transporting payloads,2018-06-19,2018,
10000339,Gravity-fed housing for gasification system,2018-06-19,2018,
10000340,Vented bucket,2018-06-19,2018,
10000341,Conveyor system and method,2018-06-19,2018,
10000342,Conveying device for conveying goods and method for conveying goods,2018-06-19,2018,
10000343,"Vibratory conveying apparatus comprising trough attachment/detachment mechanism, and combination weighing apparatus",2018-06-19,2018,
10000344,Product flow regulator,2018-06-19,2018,
10000345,Conveyor device with flow limiting device,2018-06-19,2018,
10000346,Transporting element for a distributing conveyor of a sorter of a sorting installation,2018-06-19,2018,
10000347,Adjustable multi-hole orifice in a pneumatic conveying apparatus,2018-06-19,2018,
10000348,Assembly comprising a pallet lift and a palletizing device,2018-06-19,2018,
10000349,Drive transmission device and sheet conveying device and image forming apparatus provided with same,2018-06-19,2018,
10000350,Conveyor and recording apparatus including same,2018-06-19,2018,
10000351,Splicer device,2018-06-19,2018,
10000352,Electronic component supply apparatus and electronic component supply method,2018-06-19,2018,
10000353,Air vortex assisted sheet flipping device,2018-06-19,2018,
10000354,Conveyance apparatus and image recording apparatus,2018-06-19,2018,
10000355,Sheet processing device and image forming device provided with the sheet processing device,2018-06-19,2018,
10000356,Apparatus and method for a free-spinning wire dispensing reel,2018-06-19,2018,
10000357,Passive tensioning system for composite material payout control,2018-06-19,2018,
10000358,Rapid deployment frac water transfer system,2018-06-19,2018,
10000359,Collapsible cord spool,2018-06-19,2018,
10000360,Resizable cord holder for storing and unwinding cord bundles,2018-06-19,2018,
10000361,Hose winding device,2018-06-19,2018,
10000362,Elevator control device,2018-06-19,2018,
10000363,Pipe flange lifting apparatus,2018-06-19,2018,
10000364,Vehicle with winch,2018-06-19,2018,
10000365,Pulley for high-efficiency winch,2018-06-19,2018,
10000366,Brake torque control,2018-06-19,2018,
10000367,Method for operating a lift system,2018-06-19,2018,
10000368,Hoist system for retrofitting small scissor lift to access enclosed areas in building structure,2018-06-19,2018,
10000369,Beverage bottle closing machine being configured and disposed to close tops of filled beverage bottles with screw-type and other caps,2018-06-19,2018,
10000370,Container-less custom beverage vending invention,2018-06-19,2018,
10000371,Connector and socket,2018-06-19,2018,
10000372,Portable overflow prevention dispensing container,2018-06-19,2018,
10000373,Nano-electromechanical system (NEMS) device structure and method for forming the same,2018-06-19,2018,
10000374,MEMS component,2018-06-19,2018,
10000375,Structures and process for preventing a projection of the laser resealing structure beyond the wafer surface,2018-06-19,2018,
10000376,Method for producing a micro-electromechanical component and a micro-electromechanical component,2018-06-19,2018,
10000377,Nanostructured metal amides and nitrides for hydrogen storage,2018-06-19,2018,
10000378,Carbon monoxide shift reaction apparatus and carbon monoxide shift conversion method,2018-06-19,2018,
10000379,Process for the preparation of syngas,2018-06-19,2018,
10000380,Method for the manufacture of polymeric sulfur,2018-06-19,2018,
10000381,Systems and methods for growing a non-phase separated group-III nitride semiconductor alloy,2018-06-19,2018,
10000382,Method for carbon materials surface modification by the fluorocarbons and derivatives,2018-06-19,2018,
10000383,CO2 recovery apparatus and CO2 recovery method,2018-06-19,2018,
10000384,Method of laser direct synthesis of graphene,2018-06-19,2018,
10000385,Process of converting textile or plastic solid waste into activated carbon,2018-06-19,2018,
10000386,Method for forming of siliceous film and siliceous film formed using same,2018-06-19,2018,
10000387,Post-treatment of a zeolitic material,2018-06-19,2018,
10000388,Production of PCC,2018-06-19,2018,
10000389,System and method for controlling frothing during atmospheric leaching of metal sulphides using silicates,2018-06-19,2018,
10000390,Controlled microwave assisted synthesis of functionalized silica nanoparticles,2018-06-19,2018,
10000391,"Oil-water separation structure, method of preparing the same, oil-water separator, and oil-water separation method using oil-water separator",2018-06-19,2018,
10000392,Liquid treatment apparatus,2018-06-19,2018,
10000393,Enhancement of dewatering using soy flour or soy protein,2018-06-19,2018,
10000394,Compositions for removing hydrocarbons and halogenated hydrocarbons from contaminated environments,2018-06-19,2018,
10000395,High-magnesium concentrated liquid and high-magnesium potable-water mixing system,2018-06-19,2018,
10000396,Dissolution chamber system,2018-06-19,2018,
10000397,Multiple attached growth reactor system,2018-06-19,2018,
10000398,In-situ purification island structure and the construction method thereof,2018-06-19,2018,
10000399,Denitrification of saline industrial waste water,2018-06-19,2018,
10000400,Laundry wash water recycle system,2018-06-19,2018,
10000401,Produced water evaporation system,2018-06-19,2018,
10000402,Producing algal biomass and products from organic solid material,2018-06-19,2018,
10000403,"Organic-waste-processing apparatus, processing method, and control apparatus",2018-06-19,2018,
10000404,Glass manufacturing method using electric melting,2018-06-19,2018,
10000405,Stelvin/cork glass wine bottles,2018-06-19,2018,
10000407,Vacuum plate and method for manufacturing the same,2018-06-19,2018,
10000408,"Method for heating glass sheet, and glass tempering furnace",2018-06-19,2018,
10000409,Alkali-doped and alkali-free boroaluminosilicate glass,2018-06-19,2018,
10000410,Fast ion exchangeable glasses with high indentation threshold,2018-06-19,2018,
10000411,Insulating glass unit transparent conductivity and low emissivity coating technology,2018-06-19,2018,
10000412,Heat treatable coated glass pane,2018-06-19,2018,
10000413,Carbon-enhanced cement clinker,2018-06-19,2018,
10000414,Accelerated drying concrete compositions and methods of manufacturing thereof,2018-06-19,2018,
10000415,Insulating monolithic refractory material,2018-06-19,2018,
10000416,Lightweight gypsum products having enhanced water resistance,2018-06-19,2018,
10000417,"Fused cast refractory material based on aluminium oxide, zirconium dioxide and silicon dioxide, and use of such a material",2018-06-19,2018,
10000418,"Refractory product, use of zirconium dioxide, zirconium dioxide, method for manufacturing a refractory product and a refractory product manufactured therewith",2018-06-19,2018,
10000419,Compositions and methods associated with intercalating and exfoliating a sample,2018-06-19,2018,
10000420,Ceramic material and cutting tools made thereof,2018-06-19,2018,
10000421,Method of forming ceramic material containing aluminum particles,2018-06-19,2018,
10000422,Ceramic to ceramic joining method,2018-06-19,2018,
